cluster,cluster_label,destination_count,avg_popularity,avg_google_interest,avg_satisfaction,avg_culture,avg_adventure,avg_nature,avg_beaches,avg_nightlife,avg_cuisine,avg_wellness,avg_urban,avg_seclusion
0,culture + cuisine,314,6.419674451521585,2.208481454645185,3.0119762351469666,4.222929936305732,2.7770700636942673,3.1656050955414012,2.0031847133757963,3.4872611464968153,4.098726114649682,3.0127388535031847,3.7961783439490446,2.3248407643312103
1,nature + seclusion,247,6.577597840755736,2.2240243800831876,3.0119762351469666,3.3724696356275303,3.688259109311741,4.445344129554656,2.8704453441295548,2.42914979757085,3.4048582995951415,3.1538461538461537,2.3157894736842106,3.919028340080972
2,nature + adventure,9,8.84622463314312,2.3670020368223814,2.832077820745109,2.5555555555555554,2.888888888888889,3.0,1.0,1.4444444444444444,1.4444444444444444,1.3333333333333333,2.3333333333333335,2.0
3,adventure + nature,11,8.524175653022043,2.2983758602055735,3.176773875803199,1.9090909090909092,3.090909090909091,3.090909090909091,1.7272727272727273,1.3636363636363635,1.3636363636363635,1.5454545454545454,1.8181818181818181,1.2727272727272727
4,beaches + culture,393,8.527375347114384,2.091831471877442,3.0121675600219397,2.984732824427481,1.0,2.0229007633587788,3.015267175572519,1.0,1.0,2.5114503816793894,1.5038167938931297,1.0
5,adventure + nature,193,8.496068543433378,2.35494886042723,3.0122736324330113,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0155440414507773,1.0
6,urban + culture,198,8.51762206811275,2.4883753472159538,3.0113481124357517,4.01010101010101,1.0,1.0,1.0,2.9797979797979797,2.9797979797979797,1.0,4.98989898989899,1.0
7,nature + seclusion,196,8.484978091652364,2.4028569055457756,3.0120291195058355,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0
